"Black bean chilli",Feb-10,"Page 26","Vegetarian",
"Bombay cakes with coriander & mint",Feb-10,"Page 136","Vegetarian",
"Calzone with greens",Feb-10,"Page 54","Vegetarian",
"Cauliflower fritters ",Feb-10,"Page 53","Vegetarian",
"Chana chat",Feb-10,"Page 128","Vegetarian",
"Creamy goat's cheese with chives",Feb-10,"Page 78","Vegetarian",
"Leek & goat's cheese tartlets",Feb-10,"Page 50","Vegetarian",
"Macaroni cheese",Feb-10,"Page 110","Vegetarian",
"Malfatti di bietola",Feb-10,"Page 133","Vegetarian",
"Moroccan mushrooms with couscous",Feb-10,"Page 27","Vegetarian",
"Mumbai potato wraps ",Feb-10,"Page 28","Vegetarian",
"Pasta with garlicy greens",Feb-10,"Page 56","Vegetarian",
"Spicy pepper pasta gratin",Feb-10,"Page 24","Vegetarian",
"Spinach, carrot & potato pakoras",Feb-10,"Page 128","Vegetarian",
"Tender braised leeks",Feb-10,"Page 51","Vegetarian",
"Tomato risotto",Feb-10,"Page 130","Vegetarian",
"Arichoke & broadbean tart ",Apr-10,"Page 103","Vegetarian",
"Artichoke & pepper tart",Apr-10,"Page 36","Vegetarian",
"Asparagus coconut crepes ",Apr-10,"Page 80","Vegetarian",
"Borscht beetroot soup",Apr-10,"Page 154","Vegetarian",
"Cauliflower & potato curry",Apr-10,"Page 68","Vegetarian",
"Chard, sweet potato & peanut stew",Apr-10,"Page 89","Vegetarian",
"Cheese & onion bagel",Apr-10,"Page 30","Vegetarian",
"Courgette & lemon linguine",Apr-10,"Page 32","Vegetarian",
"Cream of cauliflower soup",Apr-10,"Page 69","Vegetarian",
"Grilled aubergines with spicy chickpeas",Apr-10,"Page 63","Vegetarian",
"Mushroom & chickpea burgers",Apr-10,"Page 40","Vegetarian","perfect with ""salsa picante"", April 2010"
"Mushroom parcels",Apr-10,"Page 148","Vegetarian",
"Mushroom rarebit with mash",Apr-10,"Page 78","Vegetarian",
"Pea, mint & spring onion soup",Apr-10,"Page 110","Vegetarian",
"Spiced rice & beans",Apr-10,"Page 62","Vegetarian",
"Super-veg pasta",Apr-10,"Page 42","Vegetarian",
"Sweet potato & ginger parcels",Apr-10,"Page 9","Vegetarian",
"Veggie thai red curry",Apr-10,"Page 120","Vegetarian",
"Artichoke & roasted pepper omelette",May-10,"Page 51","Vegetarian",
"Asparagus with dippinjg sauces",May-10,"Page 63","Vegetarian",
"Aubergine & black bean stir-fry",May-10,"Page 29","Vegetarian",
"Chickpea & roasted veg tagine",May-10,"Page 49","Vegetarian",
"Emmental & onion tart",May-10,"Page 148","Vegetarian",
"Lentil & lemon fettucine",May-10,"Page 50","Vegetarian",
"Pea risotto",May-10,"Page 62","Vegetarian",
"Pepper pissaladiere",May-10,"Page 83","Vegetarian",
"Potato, taleggio & spinach tart",May-10,"Page 112","Vegetarian",
"Watercress & Pear soup",May-10,"Page 154","Vegetarian",
"Rocket & courgette soup with
 goat's cheese croutons",May-10,"Page 83","Vegetarian",
"Sauteed asparagus, toasted almonds
& manchego cheese",May-10,"Page 116","Vegetarian",
"Savoy cabbage parcels",May-10,"Page 148","Vegetarian",
"Slow roasted tomato & gruyere tart",May-10,"Page 110","Vegetarian",
"Smoky butter beans & greens",May-10,"Page 50","Vegetarian",
"Spinach & ricotta gnocchi",May-10,"Page 49","Vegetarian",
"Spring veg tagliatelle with lemon & chive sauce",May-10,"Page 43","Vegetarian",
